question,answer
गेहूं में पीला रोग क्यों होता है?,नाइट्रोजन की कमी के कारण पीला रोग होता है।
धान की सिंचाई कब करें?,रोपाई के 3-4 दिन बाद सिंचाई करें।
टमाटर में कीट कैसे रोकें?,नीम तेल या इमिडाक्लोप्रिड का छिड़काव करें।
आलू की बुवाई कब करें?,अक्टूबर से नवंबर के बीच बुवाई उपयुक्त होती है।
सरसों में कौन सा खाद डालें?,यूरिया और डीएपी का संतुलित उपयोग करें।
मक्का में कीट नियंत्रण कैसे करें?,फेरोमोन ट्रैप और कीटनाशक उपयोग करें।
धान में खरपतवार कैसे हटाएं?,हाथ से निराई या उचित शाकनाशी का प्रयोग करें।
गेहूं की सिंचाई कितनी बार करें?,फसल अवस्था अनुसार 4-6 बार सिंचाई करें।
चना की फसल में रोग कैसे रोकें?,बीज उपचार और फफूंदनाशक का प्रयोग करें।
प्याज की खेती कब करें?,रबी मौसम में अक्टूबर-नवंबर में करें।
